ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,TEL_NO,FCLTY_LA,FCLTY_LO,ADIT_DC
KCOWRPO22N000012570,무장애장소,무장애장소,리코디아아트홀,서울특별시,서초구,"서울특별시 서초구 신반포로42길 14(반포동, 벨라헤이븐)",,37.5096169,127.0186645,
KCOWRPO22N000012571,무장애장소,무장애장소,CGV,서울특별시,광진구,서울특별시 광진구 아차산로30길 26(자양동),,37.5397614,127.0670307,
KCOWRPO22N000012572,무장애장소,무장애장소,서울종합예술실용학교아트센터,서울특별시,강남구,서울특별시 강남구 삼성로 534(삼성동),,37.5096761,127.0555349,
KCOWRPO22N000012573,무장애장소,무장애장소,화순작은영화관,전라남도,화순군,전라남도 화순군 화순읍 진각로 85,,35.0583821,126.9851598,
KCOWRPO22N000012574,무장애장소,무장애장소,포천자동차극장,경기도,포천시,경기도 포천시 소흘읍 광릉수목원로 967,,37.7761712,127.1387281,
KCOWRPO22N000012575,무장애장소,무장애장소,정중앙시네마2관,강원도,양구군,강원도 양구군 양구읍 비봉로73번길 52-1,,38.1087846,127.9849495,
KCOWRPO22N000012576,무장애장소,무장애장소,이젤갤러리,부산광역시,수영구,부산광역시 수영구 연수로335번길 22(망미동),,35.1726163,129.1079093,
KCOWRPO22N000012577,무장애장소,무장애장소,씨네드쉐프,서울특별시,용산구,서울특별시 용산구 한강대로21나길 7(한강로3가),,37.5298749,126.9648595,
KCOWRPO22N000012578,무장애장소,무장애장소,군산어린이공연장,전라북도,군산시,전라북도 군산시 대학로 330(나운동),,35.964942,126.6933637,
KCOWRPO22N000012579,무장애장소,무장애장소,서울새활용플라자,서울특별시,성동구,서울특별시 성동구 자동차시장길 49(용답동),,37.558662,127.0577101,
KCOWRPO22N000012580,무장애장소,무장애장소,대구그레이스실버영화관,대구광역시,중구,대구광역시 중구 국채보상로 557(포정동),,35.8723729,128.5949965,
KCOWRPO22N000012581,무장애장소,무장애장소,청소년성문화센터,인천광역시,미추홀구,인천광역시 미추홀구 매소홀로 618(문학동),,37.4361726,126.6912495,
KCOWRPO22N000012582,무장애장소,무장애장소,남삼문화원,부산광역시,금정구,부산광역시 금정구 중앙대로 2086(남산동),,35.2704765,129.0929756,
KCOWRPO22N000012583,무장애장소,무장애장소,대전학생교육문화원,대전광역시,중구,대전광역시 중구 문화로 220(문화동),,36.3154749,127.4092475,
KCOWRPO22N000012584,무장애장소,무장애장소,노량진문화원,서울특별시,동작구,서울특별시 동작구 노량진로30길 12(본동),,37.5125694,126.9553836,
KCOWRPO22N000012585,무장애장소,무장애장소,문지문화원,서울특별시,마포구,서울특별시 마포구 잔다리로7길 18(서교동),,37.5531196,126.9166898,
KCOWRPO22N000012586,무장애장소,무장애장소,광주광역시문화원연합회,광주광역시,서구,광주광역시 서구 금화로 240(풍암동),,35.1336461,126.8748299,
KCOWRPO22N000012587,무장애장소,무장애장소,예술인공동창작공간(2023년12월예정),경상남도,양산시,경상남도 양산시 학동길 10(어곡동),,35.374869,129.028346,
KCOWRPO22N000012588,무장애장소,무장애장소,제주자동차극장,제주특별자치도,제주시,제주특별자치도 제주시 도공로 136(이호이동),,33.4957453,126.467357,
KCOWRPO22N000012589,무장애장소,무장애장소,TANK공연장,제주특별자치도,제주시,제주특별자치도 제주시 태성로 21(일도이동),,33.5013689,126.5491789,
KCOWRPO22N000012590,무장애장소,무장애장소,영주아트파크,경상북도,영주시,경상북도 영주시 가흥로 255(가흥동),,36.8197371,128.6135312,
KCOWRPO22N000012591,무장애장소,무장애장소,고한시네마,강원도,정선군,강원도 정선군 고한읍 고한10길 28-12,,37.1994164,128.8570137,
KCOWRPO22N000012592,무장애장소,무장애장소,예린소극장,광주광역시,동구,광주광역시 동구 예술길 23-1(궁동),,35.149998,126.9187061,
KCOWRPO22N000012593,무장애장소,무장애장소,홍대컨텐츠라운지RUR,서울특별시,마포구,서울특별시 마포구 와우산로29길 31(서교동),,37.5551777,126.928144,
KCOWRPO22N000012594,무장애장소,무장애장소,밀양문화원,경상남도,밀양시,경상남도 밀양시 밀양대로 1857(삼문동),,35.4898016,128.7461696,
KCOWRPO22N000012595,무장애장소,무장애장소,롯데시네마,대전광역시,서구,대전광역시 서구 봉우로8번길 23(관저동),,36.3025446,127.333718,
KCOWRPO22N000012596,무장애장소,무장애장소,1MSPACE,서울특별시,서대문구,서울특별시 서대문구 연세로4길 27(창천동),,37.5576007,126.9381985,
KCOWRPO22N000012597,무장애장소,무장애장소,대학로자유극장,서울특별시,종로구,서울특별시 종로구 대학로12길 31(동숭동),,37.5827487,127.0036077,
KCOWRPO22N000012598,무장애장소,무장애장소,한울림소극장,대구광역시,남구,대구광역시 남구 계명중앙1길 35-1(대명동),,35.856207,128.5819476,
KCOWRPO22N000012599,무장애장소,무장애장소,극단씨아트,경기도,하남시,"경기도 하남시 신평로 36(덕풍동, 벽산블루밍아파트)",,37.537148,127.2045382,
KCOWRPO22N000012600,무장애장소,무장애장소,별흐름극장,경기도,하남시,경기도 하남시 하남대로855번길 47(덕풍동),,37.5414748,127.2019039,
KCOWRPO22N000012601,무장애장소,무장애장소,고덕마을활력소,서울특별시,강동구,서울특별시 강동구 동남로82길 147(고덕동),,37.5602876,127.1650704,
KCOWRPO22N000012602,무장애장소,무장애장소,JARTHALL,전라북도,전주시 덕진구,전라북도 전주시 덕진구 오송1길 37-5(송천동1가),,35.8632317,127.1305735,
KCOWRPO22N000012603,무장애장소,무장애장소,시네마M,대구광역시,수성구,대구광역시 수성구 동대구로 400(범어동),,35.8659849,128.6288604,
KCOWRPO22N000012604,무장애장소,무장애장소,자유로자동차극장,경기도,파주시,경기도 파주시 탄현면 필승로 398-25,,37.779244,126.6848023,
KCOWRPO22N000012605,무장애장소,무장애장소,롯데월드샤롯데씨어터,서울특별시,송파구,서울특별시 송파구 송파대로 521(잠실동),,37.5107208,127.0999001,
KCOWRPO22N000012606,무장애장소,무장애장소,이랑씨어터,서울특별시,종로구,서울특별시 종로구 이화장길 99(동숭동),,37.5796806,127.0042759,
KCOWRPO22N000012607,무장애장소,무장애장소,메사팝콘홀,서울특별시,중구,서울특별시 중구 남대문시장10길 2(회현동1가),,37.560388,126.9796152,
KCOWRPO22N000012608,무장애장소,무장애장소,포항문화예술회관,경상북도,포항시 남구,경상북도 포항시 남구 희망대로 850(대도동),,36.0095718,129.3660771,
KCOWRPO22N000012609,무장애장소,무장애장소,한전문화회관,전라남도,영광군,전라남도 영광군 영광읍 천년로 1464,,35.2730021,126.5039291,
KCOWRPO22N000012610,무장애장소,무장애장소,김정문화회관,제주특별자치도,서귀포시,제주특별자치도 서귀포시 김정문화로 32(강정동),,33.2510539,126.5086758,
KCOWRPO22N000012611,무장애장소,무장애장소,남산예술센터,서울특별시,중구,서울특별시 중구 소파로 138(예장동),,37.5588446,126.9883043,
KCOWRPO22N000012612,무장애장소,무장애장소,유스퀘어문화관,광주광역시,서구,광주광역시 서구 무진대로 904(광천동),,35.1603068,126.8801293,
KCOWRPO22N000012613,무장애장소,무장애장소,단양문화예술회관,충청북도,단양군,충청북도 단양군 단양읍 중앙1로 32,,36.9855576,128.3682285,
KCOWRPO22N000012614,무장애장소,무장애장소,바다시어터,서울특별시,종로구,서울특별시 종로구 대명1길 7(명륜4가),,37.5831101,127.0009915,
KCOWRPO22N000012615,무장애장소,무장애장소,알과핵소극장,서울특별시,종로구,서울특별시 종로구 동숭길 25(동숭동),,37.5798905,127.0035721,
KCOWRPO22N000012616,무장애장소,무장애장소,성시몬문화원,경기도,하남시,경기도 하남시 신평로73번길 38(덕풍동),,37.5411877,127.2047884,
KCOWRPO22N000012617,무장애장소,무장애장소,디큐브아트센터,서울특별시,구로구,"서울특별시 구로구 경인로 662(신도림동, 디큐브시티)",,37.5087968,126.8890375,
KCOWRPO22N000012618,무장애장소,무장애장소,창조비전아트홀,서울특별시,서대문구,서울특별시 서대문구 신촌로 197(대현동),,37.5571935,126.9479664,
KCOWRPO22N000012619,무장애장소,무장애장소,풀빛극장,서울특별시,종로구,서울특별시 종로구 대학로8가길 129(동숭동),,37.5802969,127.0035121,
KCOWRPO22N000012620,무장애장소,무장애장소,반줄,서울특별시,종로구,서울특별시 종로구 삼일대로17길 23(관철동),,37.5691179,126.9861691,
KCOWRPO22N000012621,무장애장소,무장애장소,BS부산은행조은극장,부산광역시,중구,부산광역시 중구 광복로 82(광복동1가),,35.0982806,129.0337516,
KCOWRPO22N000012622,무장애장소,무장애장소,CGV,경기도,김포시,경기도 김포시 김포한강11로 288-31(운양동),,37.6549185,126.6840432,
KCOWRPO22N000012623,무장애장소,무장애장소,그랜드워커힐호텔시어터,서울특별시,광진구,서울특별시 광진구 워커힐로 177(광장동),,37.5553244,127.1103065,
KCOWRPO22N000012624,무장애장소,무장애장소,웃찾사전용공연장,서울특별시,성동구,"서울특별시 성동구 왕십리로 241(행당동, 서울숲 더샵)",,37.5569291,127.040348,
KCOWRPO22N000012625,무장애장소,무장애장소,코엑스홀C,서울특별시,강남구,서울특별시 강남구 봉은사로 524(삼성동),,37.5119667,127.058425,
KCOWRPO22N000012626,무장애장소,무장애장소,아르코공연연습센터,광주광역시,광산구,광주광역시 광산구 소촌로85번길 14-9(소촌동),,35.1523324,126.7910405,
KCOWRPO22N000012627,무장애장소,무장애장소,씨네Q,경상북도,구미시,경상북도 구미시 야은로 296(봉곡동),,36.1385933,128.3154144,
KCOWRPO22N000012628,무장애장소,무장애장소,횡성문화원,강원도,횡성군,강원도 횡성군 횡성읍 앞들서3로 6,,37.4914146,127.9785053,
KCOWRPO22N000012629,무장애장소,무장애장소,울진작은영화관,경상북도,울진군,경상북도 울진군 울진읍 울진중앙로 115-21,,36.9922354,129.4001191,
KCOWRPO22N000012630,무장애장소,무장애장소,장항미디어센터,충청남도,서천군,충청남도 서천군 장항읍 장항로139번길 54,,36.0156946,126.6948623,
KCOWRPO22N000012631,무장애장소,무장애장소,후암스테이지,서울특별시,종로구,서울특별시 종로구 대학로11길 23(명륜4가),,37.5820861,127.0004297,
KCOWRPO22N000012632,무장애장소,무장애장소,메가박스,경상남도,양산시,경상남도 양산시 물금읍 증산역로 177,,35.3098902,129.0093442,
KCOWRPO22N000012633,무장애장소,무장애장소,골목실험극장,대구광역시,남구,대구광역시 남구 계명중앙1길 39-4(대명동),,35.8561213,128.5821989,
KCOWRPO22N000012634,무장애장소,무장애장소,세컨드뮤지엄,서울특별시,종로구,서울특별시 종로구 자하문로17길 12-24(옥인동),,37.5824355,126.9695575,
KCOWRPO22N000012635,무장애장소,무장애장소,국가무형문화재놀이마당,경상남도,창녕군,경상남도 창녕군 영산면 영산계성로 110-15,,35.4616565,128.5266147,
KCOWRPO22N000012636,무장애장소,무장애장소,아트스페이스펄,대구광역시,중구,대구광역시 중구 명덕로35길 26(남산동),,35.8579045,128.5885108,
KCOWRPO22N000012637,무장애장소,무장애장소,이마트문화센터,전라남도,순천시,전라남도 순천시 팔마로 191(덕암동),,34.9425645,127.5083972,
KCOWRPO22N000012638,무장애장소,무장애장소,블러섬랜드,서울특별시,마포구,서울특별시 마포구 토정로 136(상수동),,37.5452724,126.9262875,
KCOWRPO22N000012639,무장애장소,무장애장소,더킹연습실,서울특별시,서초구,서울특별시 서초구 도구로 83(방배동),,37.4839389,126.9863463,
KCOWRPO22N000012640,무장애장소,무장애장소,엉클캔들,서울특별시,마포구,서울특별시 마포구 와우산로29길 48-17(서교동),,37.5561295,126.9276621,
KCOWRPO22N000012641,무장애장소,무장애장소,희야공방,경상남도,창원시 성산구,경상남도 창원시 성산구 원이대로393번길 18(반지동),,35.2389423,128.6627088,
KCOWRPO22N000012642,무장애장소,무장애장소,부천문화원,경기도,부천시,경기도 부천시 경인로92번길 33(송내동),,37.4825007,126.7665438,
KCOWRPO22N000012643,무장애장소,무장애장소,서대문문화회관,서울특별시,서대문구,서울특별시 서대문구 백련사길 196(홍은동),,37.5861784,126.9264891,
KCOWRPO22N000012644,무장애장소,무장애장소,재송삼성전통문화원,부산광역시,해운대구,부산광역시 해운대구 재송1로31번길 21-12(재송동),,35.189425,129.1229889,
KCOWRPO22N000012645,무장애장소,무장애장소,청호불교문화회관,서울특별시,강남구,서울특별시 강남구 언주로148길 14(논현동),,37.5201912,127.035726,
KCOWRPO22N000012646,무장애장소,무장애장소,유채꽃소극장,경기도,구리시,경기도 구리시 아차산로 453(교문동),,37.5955701,127.1298785,
KCOWRPO22N000012647,무장애장소,무장애장소,뉴서울필하모닉오케스트라,서울특별시,강남구,서울특별시 강남구 봉은사로 524(삼성동),,37.5130928,127.0598122,
KCOWRPO22N000012648,무장애장소,무장애장소,CGV,경기도,화성시,경기도 화성시 봉담읍 동화길 51,,37.2190315,126.9554909,
KCOWRPO22N000012649,무장애장소,무장애장소,아산건강문화센터,충청남도,아산시,충청남도 아산시 배미로 154(배미동),,36.7995085,126.9770539,
KCOWRPO22N000012650,무장애장소,무장애장소,CGV,경상남도,고성군,경상남도 고성군 고성읍 송학로 58,,34.9770772,128.3159411,
KCOWRPO22N000012651,무장애장소,무장애장소,천안자동차극장,충청남도,천안시 동남구,충청남도 천안시 동남구 성남면 5산단로 331-17,,36.7567216,127.2621385,
KCOWRPO22N000012652,무장애장소,무장애장소,새한,경상북도,경주시,경상북도 경주시 계림로 83(노동동),,35.8416091,129.2132276,
KCOWRPO22N000012653,무장애장소,무장애장소,NC소극장,경기도,안산시 단원구,경기도 안산시 단원구 광덕대로 194(고잔동),,37.3134591,126.8310159,
KCOWRPO22N000012654,무장애장소,무장애장소,창원문학창작촌,경상남도,창원시 진해구,경상남도 창원시 진해구 행암로 192(행암동),,35.1179691,128.6997491,
KCOWRPO22N000012655,무장애장소,무장애장소,영덕무형문화재전수관,경상북도,영덕군,경상북도 영덕군 영해면 318만세길 38,,36.5292828,129.4065663,
KCOWRPO22N000012656,무장애장소,무장애장소,범서온천자동차극장,울산광역시,울주군,울산광역시 울주군 범서읍 두동로 702,,35.6257586,129.2219818,
